"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"711","14358-3-19163","Get RS 100 Cash back on Order Above Rs 500","1 mg store offering a Rs 100 cash back on order above Rs 500, Free shipping is available, Same day delivery is available in Delhi and NCR for orders placed before 3:00 pm, This is an introductory discount, Use above Code to Avail the discount, Homeopathic and ayurvedic medicines are available","above Code to Avail","Rs. 100 cash back on order","order above Rs 500","offering a Rs 100","","Use above Code to Avail the",""
"712","14358-7-528281","Get Up To 15% Off On Prescription Medicines","Buy prescription medicines of Rs.300 or more and get up to 15% at 1mg, Applicable only in Delhi NCR and Chandigarh, For Bangalore minimum purchase of Rs.500.","15% at 1mg","Rs. 300 or more and get","get up to 15% at 1mg","15% at 1mg","","",""
"713","14358-7-548243","Save Up To 15% On Medicine Bills In Selected Cities","Save up to 15% on medicine bills, 1mg fulfill orders in Delhi - NCR, Lucknow, Agra, Kanpur, Jaipur, Indore, Bhopal, Amritsar, Ludhiana and Jalandhar.","now Agra Kanpur Jaipur Indore Bhopal","","medicine bills","15% on medicine bills","","",""
"714","14360-4-180294","EOSS : Upto 60% Off on Personal Products","Buy your personal products and get up to 60% off on all things, no coupon code required to activate this offer, click here to get in to this offer.","60% off on all","","all things no coup","60% off on all","","",""
"715","14360-7-503758","Get Extra 10% Off On All Products Of Fifty Shades","Buy At Thats personal and get extra 10% off on all products of fifty shades.Use Code to avail this offer.Hurry, limited time period offer.","avail this offer.Hurry","","all products of fifty shades.Use Code to avail this offer.Hurry","avail this offer.Hurry","","Use Code to avail this offer.Hurry",""
"716","14360-7-547419","Flat 10% Off On All DONA Merchandise","Flat 10% off on all DONA merchandise at That's Personal, Use Code to avail this offer.","Flat 10% off on all DONA","","all DONA merchandise at That's Personal","avail this offer.","","Use Code to avail this offer.",""
"717","14360-7-547420","Flat 25% Off On All PJUR Products","Flat 25% off on all PJUR products at That's Personal, Use Code to avail this offer.","Flat 25% off on all PJUR","","all PJUR products at That's Personal","avail this offer.","","Use Code to avail this offer.",""
"718","14360-7-547421","Flat 10% Off On All WEVIBE Products","Get flat 10% off on all WEVIBE products at That's Personal, Use Code to avail this offer.","avail this offer.","","all WEVIBE products at That's Personal","avail this offer.","","Use Code to avail this offer.",""
"719","144-7-452598","Upto 25% Off On Best Sellers Books","Get upto 25% off on best sellers books at Crossword","25% off on best","","best sellers books at Crossword","25% off on best","","",""
"720","144-7-452599","Upto 25% Off on Football Fever Books","Buy and Avail upto 25% on football fever books at Crossword","25% on football fever","upto 25% on football","football fever books at Crossword","25% on football fever","","",""
"721","144-7-461600","Up To 25% Off On Business Books","Buy and Avail upto 25% off on bussiness books at Crossword","25% off on bussiness","upto 25% off on","bussiness books at Crossword","25% off on bussiness","","",""
"722","144-7-461602","Flat 20% Off On Devdutta Pattanaik Books","Buy and Avail flat 20% off on devdutta pattanaik books at Crossword","","flat 20% off on","devdutta pattanaik books at Crossword","","","",""
"723","144-7-551714","Up To 30% Off On Movie And Music","Get up to 30% off on movie and music at Crossword, No Code to avail this offer, Hurry, offer valid only for a limited period.","30% off on movie","","movie and music at Crossword","30% off on movie","valid only for a limited period.","",""
"724","14535-3-6572","Cash On Delivery Facility","With a network of over 4000 global vendors, we offer the largest collection of diamonds & diamond jewelry in the country, Sparkling solitaires & precious diamond and gemstone jewelry leave our factories daily, to our delighted customers in more than 150+ cities and towns across the length & breadth of India, COD option is available on select pin codes up to Rs.49,000, It is not applicable on customised jewellery","jewelry leave our fac","Rs. Sparkling solitaires & precious diamond","of diamonds & diamond jewelry in the country","jewelry leave our fac","","",""
"725","14535-7-535056","Flat 25% Off On Diamond & Gemstone Jewellery Over Rs.30,000","Buy any diamond or gemstone jewellery over Rs.30,000 and get flat 25% off at Caratlane, Use Code to get this offer, Hurry, Offer valid for a limited period only.","jewellery over Rs.30000 and","Rs. 30000 and get flat 25%","get flat 25% off at Caratlane","jewellery over Rs.30000 and","valid for a limited period only.","Use Code to get this offer",""
"726","14535-7-535057","Flat 15% Off On Orders Between Rs.15000 To Rs.30000","Buy any diamond or gemstone jewellery between Rs.15000 to Rs.30,000 and get flat 15% off at Caratlane, Use Code to get this offer, Hurry, Offer valid for a limited period only.","jewellery between Rs.15000","Rs. 15000 to","get flat 15% off at Caratlane","jewellery between Rs.15000","valid for a limited period only.","Use Code to get this offer",""
"727","14535-7-535059","Flat 5% Off On Solitaires Above Rs.100000","Buy any solitaires above Rs.100000 and get flat 5% off at Caratlane, Use Code to get this offer, Hurry, Offer valid for a limited period only.","get this offer","Rs. 100000 and get flat 5%","get flat 5% off at Caratlane","get this offer","valid for a limited period only.","Use Code to get this offer",""
"728","14535-7-535060","Flat 5% Off On Solitaire Jewellery Above Rs.100000","Buy any solitaire jewellery above Rs.100000 and get flat 5% off at Caratlane, Use Code to get this offer, Hurry, Offer valid for a limited period only.","get this offer","Rs. 100000 and get flat 5%","get flat 5% off at Caratlane","get this offer","valid for a limited period only.","Use Code to get this offer",""
"729","14535-7-535062","Get Rs.1000 Off On Your First Order","Register & place your first order and get Rs.1000 off at Caratlane, No minimum purchase required, Use Code to get this offer.","get this offer.","Rs. 1000 off at Caratlane","get Rs.1000 off at Caratlane","get this offer.","","Use Code to get this offer.",""
"730","14536-3-12026","Recharge Offers: Get Extra Talk Time","Telenor is Offering Exclusive Online Offers, Recharge here for Rs 70 and get Talktime of Rs 80, Pay Rs 160 and get Rs 200 Talktime and so On, Check for the latest Talktime Offers and Enjoy the Benefits ","","Rs. 70 and get Talktime of","get Talktime of Rs 80 Pay","","","",""
"731","14536-3-12571","All Local Calls @ 25 P/Min","Uninor Offers Best Cheap Local Rates at 25 P/Min, Recharge with Rs 29 and get all your calls at just 25 p/min, Also get extra Rs 20 talktime, Validity of this offer is 28 days, Hurry up, Recharge Now, No Uninor Coupon is needed","Now","Rs. Recharge with","get all your calls at just","","","",""
"732","14536-3-12574","Unlimited Uninor to Uninor Calls @ Rs 52","Uninor Offers Best Call Rates, No Coupon is needed, Just Recharge for Rs 52 and Get Unlimited Local Calls for 28 days, Avail this Offer now","now","Rs. Just Recharge for","","","","",""
"733","14536-3-12580","Roaming Plans @ Rs 8","Uninor Offers Best Roaming Plans, While Roaming Stay with your loved ones on phone with online Roaming plans starting at Rs 8, And also get free unlimited incoming and outgoing local calls, No Coupon Code is needed","","Rs. While Roaming Stay with your","phone with online Roaming plans starting at Rs 8","","","",""
"734","14536-3-12582","Unlimited WhatsApp and Facebook: Just for Rs 15 and Rs 16","Uninor is Offering Unlimited WhatsApp and Facebook for Just Rs 15 and Rs 16 Respectively, Surf the internet at the lowest rates with Uninor, Now stay connected with your friends on social networking sites and surf the internet with Uninor s lowest internet plans, No Coupon Code is needed","Now stay connected with your friends","Rs. 15 and","social networking sites and surf the internet with Uninor s lowest internet plans","","","","stay connected with your"
"735","14536-3-14113","Extra 50% Internet, Browsing","Telenor is Offering Extra 50% on Internet, Internet Means Extra Browsing, Download and Gossips, Get Extra MBs on Select Data Recharges, Eg: For Rs 43 Get 125 MB Extra, No Coupon is needed, Check the details in the listing page","Get Extra MBs on Select Data","Rs. 43 Get 125 MB Extra","Internet","","","",""
"736","14536-3-17339","Recharge for Rs 350 & Get Rs 450 Talktime","Uninor is Offering Rs 100 Extra Talk time, Recharge for Rs 350 and get Rs 450 Talktime, Uninor has More Spectrum Capacity Conversions, Get More Benefits Only on Uninor Recharge, No Code is needed to get the offer, Recharge Now","Now","Rs. 100 Extra Talk time","Uninor Recharge No Code is needed to get the offer","get the offer","","",""
"737","14536-3-19307","Pay Less- Get Life Time Validity","Telenor is Offering Lifetime Validity and all Local Calls at Rs 1 for Just Rs 15, This is Validity for lifetime is applicable as per license period of the circle, Mobile connection will be deactivated if there is no voice call (outgoing or incoming) or an outgoing SMS or a data session (upload or download) or usage of Value Added Services or recharge, for a continuous period of 90 days and in case the main account balance is less than Rs 20, No Code is needed","","Rs. 1 for Just","","","","",""
"738","14537-3-11879","Get Upto Rs 15 Cashback on Recharge of Rs 50 and above","Get Rs 15 Cashback on minimum recharge of Rs 50, This Offer is valid only for newly registered users on their first 3 recharges, each carrying Rs 5 Cashback, This Cashbcak will be Credited in the ADDA Cashback account only on Successful transaction","Get Rs 15 Cashback on minimum","Rs. 15 Cashback on minimum recharge","minimum recharge of Rs 50","","valid only for newly registered users","",""
